DiffElemParall
251
277
564
40
32
112
18
1728
92
434
30
37
887
691
110
37
233
60
141
998
22
83
28
48
86
29
49
715
601
28
166
33
836
538
791
469
30
2
151
57
265
1266
119
32
196
145
78
108
255
1677
