DiffElemParall
235
955
344
160
400
1203
407
471
259
161
118
146
74
568
392
1014
71
103
387
1051
380
165
107
74
46
645
439
214
116
331
69
807
552
141
178
390
75
71
88
373
97
81
507
157
1102
1055
87
298
390
