DiffElemParall
13
499
88
63
0
936
414
764
17
611
794
51
249
80
96
210
142
29
457
19
5
391
987
6
18
60
76
327
64
0
0
0
33
554
115
33
103
0
932
191
34
188
650
258
29
243
21
59
727
53
