DiffElemParall
213
1811
8646
1032
199
4290
1771
857
152
129
4910
148
88
763
910
120
77
553
141
300
244
45
1621
410
1010
146
1374
182
197
3454
7208
523
247
142
1819
341
776
2025
141
3861
1755
68
234
4752
2938
1392
277
659
1943
536
