DiffElemParall
3016
5489
533
1643
9312
2171
3539
4765
5022
2560
2280
482
79
131
2535
1907
344
220
1550
2151
4054
1655
53
2704
2648
30
5423
42682
4202
4400
272
5159
1256
165
2385
1443
5069
925
2413
238
1872
398
871
3205
3291
3166
1144
3245
27
387
