DiffElemParall
638
65
6
5
0
0
0
0
65
35
634
0
0
0
19
0
0
4
0
0
5
1
0
19
0
19
4
0
46
14
0
4
2
2
0
9
0
0
0
0
5
0
594
73
5
67
5
15
33

