DiffElemParall
110
159
556
59
546
152
135
60
108
83
183
66
268
134
753
82
243
79
199
315
288
784
2427
137
90
75
152
440
262
2333
1904
828
1216
56
178
112
223
104
140
641
81
89
113
653
464
99
136
306
119
408
